,feature_source,parameters,Full,KTH_brown_bread,KTH_corduroy,KTH_aluminium_foil,KTH_linen,KTH_wool,KTH_orange_peel,KTH_sponge,KTH_cracker,KTH_cork,KTH_cotton,KTH_styrofoam
0,lbp,P:4_R:64_method:uniform_n_bins:60,0.533125,0.04878048780487805,0.75390625,0.47685185185185186,0.6108949416342413,0.24537037037037038,0.16,0.07317073170731707,0.058823529411764705,0.7731481481481481,0.642023346303502,0.0975609756097561
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414]",0.789375,0.7804878048780488,0.7421875,0.8657407407407407,0.8832684824902723,0.8240740740740741,0.6,0.6829268292682927,0.5882352941176471,0.7916666666666666,0.7431906614785992,0.5853658536585366
0,lbp,P:4_R:64_method:uniform_n_bins:70,0.5325,0.07317073170731707,0.75390625,0.47685185185185186,0.5719844357976653,0.25,0.16,0.0975609756097561,0.08823529411764706,0.7824074074074074,0.6381322957198443,0.1951219512195122
0,lbp,P:4_R:64_method:uniform_n_bins:80,0.53375,0.07317073170731707,0.76171875,0.4537037037037037,0.5680933852140078,0.2638888888888889,0.12,0.12195121951219512,0.058823529411764705,0.8009259259259259,0.6342412451361867,0.21951219512195122
0,lbp,P:4_R:64_method:uniform_n_bins:90,0.533125,0.04878048780487805,0.7578125,0.5,0.5836575875486382,0.27314814814814814,0.12,0.17073170731707318,0.029411764705882353,0.7546296296296297,0.622568093385214,0.14634146341463414
0,lbp,P:4_R:64_method:uniform_n_bins:100,0.54,0.07317073170731707,0.7578125,0.49074074074074076,0.5992217898832685,0.24074074074074073,0.12,0.17073170731707318,0.058823529411764705,0.8009259259259259,0.6342412451361867,0.17073170731707318
0,lbp,P:4_R:64_method:uniform_n_bins:110,0.5325,0.04878048780487805,0.76171875,0.4861111111111111,0.5836575875486382,0.25925925925925924,0.16,0.0975609756097561,0.058823529411764705,0.7731481481481481,0.6264591439688716,0.14634146341463414
0,lbp,P:4_R:64_method:uniform_n_bins:120,0.544375,0.04878048780487805,0.77734375,0.49074074074074076,0.5875486381322957,0.25925925925925924,0.2,0.04878048780487805,0.08823529411764706,0.8055555555555556,0.6536964980544747,0.12195121951219512
0,lbp,P:4_R:64_method:uniform_n_bins:130,0.5375,0.07317073170731707,0.75,0.4861111111111111,0.5758754863813229,0.2638888888888889,0.16,0.14634146341463414,0.11764705882352941,0.7731481481481481,0.6536964980544747,0.14634146341463414
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469]",0.7875,0.7317073170731707,0.71484375,0.8703703703703703,0.8754863813229572,0.8240740740740741,0.68,0.6829268292682927,0.6176470588235294,0.7962962962962963,0.7509727626459144,0.6097560975609756
